COD_BPM,NM_BPM,Endereco
2,2º BPM,"R. Álvaro Ramos, 155"
3,3º BPM,"R. Lucídio Lago, 181"
4,4º BPM,"R. Francisco Eugênio, 228"
5,5º BPM,"Praça Cel. Assunção, S/N"
6,6º BPM,"R. Barão de Mesquita, 625"
7,7º BPM,"R. Dr. Alfredo Backer, 367"
8,8º BPM,"Rua Tenente Coronel Cardoso, s/n"
9,9º BPM,"R. Tacaratu, 94"
10,10º BPM,"Rod. Lúcio Meira, 47000"
11,11º BPM,"R. Voluntários da Pátria, 474"
12,12º BPM,"Av. Jansen de Melo, s/n"
14,14º BPM,Est. Guandu do Sena 1954
15,15º BPM,"R. Pedro Corrêa, 273"
16,16º BPM,"R. Paranapanema, 769"
17,17º BPM,"Estr. do Rio Jequiá, 518"
18,18º BPM,Est. do Pau Ferro 435
19,19º BPM,"R. Figueiredo Magalhães, 550"
20,20º BPM,"R. Ten. Aldir Soares Adriano, 354"
21,21º BPM,"Av. Automóvel Clube, 1333"
22,22º BPM,"Linha Vermelha, Km 6"
23,23º BPM,"R. Cap. César de Andrade, 119"
24,24º BPM,R. Ten. Jerônimo Costa s/n
25,25º BPM,R. Inglaterra s/n
26,26º BPM,Rua Domingos Silvério s/nº
27,27º BPM,"R. Guarantã, s/n"
28,28º BPM,"Av. N. Sra. do Amparo, s/n"
29,29º BPM,"BR 356, Km 04"
30,30º BPM,"Rua Guandu, 680"
31,31º BPM,"Av. Salvador Allende, 5500"
32,32º BPM,End: Estrada do Imburo s/nº
33,33º BPM,"R. Francisco Bezerra, 604"
34,34º BPM,"Praça Getúlio Vargas, 71"
35,35º BPM,"Av. Ver. Hermínio Moreira, 208"
36,36º BPM,RJ 116 c/ RJ 186
37,37º BPM,"R. Cel. Prof. Joffre Coelho Chagas, 378"
38,38º BPM,"End: Estrada União Indústria, Km 125 nº 250"
39,39º BPM,"Av. Joaquim da Costa Lima, s/n"
40,40º BPM,Av. dos Estados s/nº
41,41º BPM,"Av. Pastor Martin Luther King Junior, 8848"
